planetId,planetName,color,size(pixel),shaderName,textName,satelliteOfId,scalerX,scalerY,scalerZ,mass(kg),radius(km),obliquity(degree),inclination(degree),rotationPeriod(day),rotationVelocity(km/s),orbitalPeriod(day),orbitalSpeed(m/s),distanceToParent(Km),distanceToParent(au),initPositionX(km),initPositionY(km),initPositionZ(km),initVelocityX(m/s),initVelocityY(m/s),initVelocityZ(m/s)
0,Sun,red,15.0,stella,sun,0,1.00 ,1.00 ,1.00 ,1.9885E+30,6.9570E+05,7.250 ,0.000 ,25.000 ,0.000 ,0.000 ,0,0.0000E+00,0.000000 ,0.0000E+00,0.0000E+00,0.0000E+00,0,0,0
1,Mercury,gray,3.8,star,mercury,0,1.00 ,1.00 ,1.00 ,3.3011E+23,2.4397E+03,2.000 ,7.005 ,59.000 ,0.000 ,88.000 ,47362,5.7909E+07,0.387098 ,5.7477E+07,7.0624E+06,0.0000E+00,0,0,-47362
2,Venus,brown,9.5,star,venus,0,1.00 ,1.00 ,1.00 ,4.8675E+24,6.0518E+03,177.300 ,3.394 ,243.000 ,0.000 ,225.000 ,35020,1.0821E+08,0.723325 ,1.0802E+08,6.4061E+06,0.0000E+00,0,0,-35020
3,Earth,blue,10.0,star,earth,0,1.00 ,1.00 ,1.00 ,5.9724E+24,6.3710E+03,23.439 ,0.000 ,0.996 ,0.000 ,365.250 ,29780,1.4960E+08,1.000000 ,1.4960E+08,0.0000E+00,0.0000E+00,0,0,-29780
4,Moon,red,2.7,star,moon,3,50.00 ,50.00 ,50.00 ,7.3420E+22,1.7370E+03,6.680 ,5.145 ,27.000 ,0.000 ,27.000 ,1022,3.8440E+05,0.002570 ,1.4998E+08,3.4472E+04,0.0000E+00,0,0,-30802
5,Mars,orange,5.3,star,mars,0,1.00 ,1.00 ,1.00 ,6.4171E+23,3.3895E+03,25.200 ,1.850 ,1.025 ,0.000 ,687.000 ,24077,2.2794E+08,1.523678 ,2.2782E+08,7.3586E+06,0.0000E+00,0,0,-24077
6,Phobos,red,1.8,star,phobos,5,1300.00 ,1300.00 ,1300.00 ,1.0659E+16,1.1200E+01,0.000 ,26.040 ,0.000 ,0.000 ,0.319 ,2138,9.3760E+03,0.000063 ,2.2783E+08,7.3627E+06,0.0000E+00,0,0,-26215
7,Deimos,black,1.0,star,deimos,5,1300.00 ,1300.00 ,1300.00 ,1.4762E+15,6.2000E+00,0.000 ,27.580 ,0.000 ,0.000 ,1.263 ,1351,2.3463E+04,0.000157 ,2.2784E+08,7.3694E+06,0.0000E+00,0,0,-25428
8,Ceres,gray,7.0,star,ceres,0,1.00 ,1.00 ,1.00 ,9.3835E+20,4.7000E+02,0.000 ,10.594 ,0.375 ,0.000 ,1680.150 ,17905,4.1426E+08,2.769161 ,4.0720E+08,7.6161E+07,0.0000E+00,0,0,-17905
9,Jupiter,purple,15.0,star,jupiter,0,1.00 ,1.00 ,1.00 ,1.8982E+27,6.9911E+04,3.100 ,1.303 ,0.414 ,0.000 ,4331.865 ,13070,7.7857E+08,5.204414 ,7.7837E+08,1.7704E+07,0.0000E+00,0,0,-13070
10,Saturn,cyan,13.0,star,saturn,0,1.00 ,1.00 ,1.00 ,5.6834E+26,5.8232E+04,26.700 ,2.485 ,0.446 ,0.000 ,10592.250 ,9680,1.4335E+09,9.582546 ,1.4322E+09,6.2155E+07,0.0000E+00,0,0,-9680
11,Uranus,black,12.0,star,uranus,0,1.00 ,1.00 ,1.00 ,8.6810E+25,2.5362E+04,97.800 ,0.773 ,0.719 ,0.000 ,30681.000 ,6800,2.8750E+09,19.218436 ,2.8748E+09,3.8787E+07,0.0000E+00,0,0,-6800
12,Neptune,blue,12.0,star,neptune,0,1.00 ,1.00 ,1.00 ,1.0241E+26,2.4622E+04,28.300 ,1.768 ,0.667 ,0.000 ,60266.250 ,5430,4.5000E+09,30.080611 ,4.4979E+09,1.3884E+08,0.0000E+00,0,0,-5430
13,Pluto,black,10.0,star,pluto,0,1.00 ,1.00 ,1.00 ,1.3030E+22,1.1880E+03,122.500 ,17.160 ,6.375 ,0.000 ,90582.000 ,4743,5.9064E+09,39.481671 ,5.6435E+09,1.7426E+09,0.0000E+00,0,0,-4743
